Department  ,Division,Position Title,Employee Status,Initial Hire Date,Date in Position,Fair Labor Standards Act (FLSA) ,Base Salary
Police,Police Investigative Svc-Sworn,Police Officer,Permanent Full-time,1/7/19,1/7/19,Nonexempt,"58,055.80"
Police,Police Investigative Svc-Sworn,Master Police Officer,Permanent Full-time,3/28/05,3/28/05,Nonexempt,"83,992.99"
Police,Police Field Operations-Sworn,Police Officer,Permanent Full-time,6/21/22,6/21/22,Nonexempt,"56,639.48"
Police,Police Administrative Svcs-Swn,Police Recruit,Permanent Full-time,12/2/23,8/10/24,Nonexempt,"46,396.00"
Police,Police Field Operations-Sworn,Master Police Officer,Permanent Full-time,9/20/10,9/20/10,Nonexempt,"76,138.83"
Police,Police Field Operations-Sworn,Police Officer,Permanent Full-time,6/21/22,6/21/22,Nonexempt,"56,639.48"
Police,Police Field Operations-Sworn,Master Police Officer,Permanent Full-time,7/9/12,7/9/12,Nonexempt,"72,513.50"
Police,Police Administrative Svc-Civl,Ops Officer III (Police only),Permanent Full-time,11/8/16,11/8/16,Nonexempt,"41,774.67"
Police,Police Administrative Svc-Civl,Operations Officer II,Permanent Full-time,9/12/22,9/12/22,Nonexempt,"41,503.50"
Police,Police Administrative Svcs-Swn,Master Police Officer,Permanent Full-time,2/10/97,2/10/97,Nonexempt,"83,992.99"
Police,Police-Emergency 911 Div Civil,Public Safety Telecomm III,Permanent Full-time,8/6/01,7/29/23,Nonexempt,"70,609.02"
Police,Police Investigative Svc-Sworn,Master Police Officer,Permanent Full-time,2/13/06,2/13/06,Nonexempt,"81,944.08"
Police,Police Field Operations-Sworn,Police Officer,Permanent Full-time,1/18/22,1/18/22,Nonexempt,"56,639.48"
Police,Police Field Operations-Sworn,Master Police Officer,Permanent Full-time,1/13/98,2/23/01,Nonexempt,"88,192.69"
Police,Police Administrative Svc-Civl,Operations Officer II,Permanent Full-time,3/23/24,3/23/24,Nonexempt,"41,503.50"
Police,Police Field Operations-Sworn,Police Officer,Permanent Full-time,10/21/23,10/21/23,Nonexempt,"55,264.33"
Police,Police Administrative Svcs-Swn,Master Police Officer,Permanent Full-time,8/8/05,8/8/05,Nonexempt,"81,944.08"
Police,Police Administrative Svc-Civl,Operations Officer II,Permanent Full-time,1/29/03,1/29/03,Nonexempt,"42,244.53"
Police,Police Administration - Sworn,Master Police Officer,Permanent Full-time,1/23/17,1/23/17,Nonexempt,"61,082.57"
Police,Police Field Operations-Sworn,Police Officer,Permanent Full-time,8/2/21,8/2/21,Nonexempt,"58,055.80"
Police,Police Administrative Svc-Civl,Program Administrator,Permanent Full-time,8/12/23,8/12/23,Exempt,"54,601.43"
Police,Police-Emergency 911 Div Civil,Public Safety Telecomm III,Permanent Full-time,10/18/04,4/13/19,Nonexempt,"56,639.48"
Police,Police Investigative Svc-Sworn,Master Police Officer,Permanent Full-time,9/23/04,9/23/04,Nonexempt,"83,992.99"
Police,Police Field Operations-Sworn,Police Officer,Permanent Full-time,4/25/20,4/25/20,Nonexempt,"58,055.80"
Police,Police Field Operations-Sworn,Police Officer,Permanent Full-time,8/29/22,8/29/22,Nonexempt,"56,639.48"
Police,Police Administrative Svcs-Swn,Police Recruit,Permanent Full-time,6/15/24,6/15/24,Nonexempt,"46,396.37"
Police,Police Administrative Svcs-Swn,Master Police Officer,Permanent Full-time,10/4/00,10/4/00,Nonexempt,"88,192.69"
Police,Police Field Operations-Guards,School Crossing Guard,Periodic Part-time,11/30/99,11/30/99,Nonexempt,30.99
Police,Police Investigative Svc-Sworn,Master Police Officer,Permanent Full-time,7/9/12,7/9/12,Nonexempt,"72,513.50"
Police,Police Field Operations-Sworn,Master Police Officer,Permanent Full-time,11/7/05,3/31/08,Nonexempt,"81,944.08"
Police,Police Field Operations-Sworn,Police Officer,Permanent Full-time,1/28/23,1/28/23,Nonexempt,"55,264.33"
Police,Police Field Operations-Sworn,Police Officer,Permanent Full-time,12/2/23,12/2/23,Nonexempt,"55,264.33"
Police,Police Field Operations-Sworn,Master Police Officer,Permanent Full-time,12/11/17,12/11/17,Nonexempt,"61,082.57"
Police,Police Administrative Svcs-Swn,Master Police Officer,Permanent Full-time,10/4/10,10/4/10,Nonexempt,"76,138.83"
Police,Police Administrative Svc-Civl,Operations Officer II,Permanent Full-time,8/15/22,8/15/22,Nonexempt,"41,503.50"
Police,Police Administration-Civilian,Management Analyst I,Permanent Full-time,2/18/20,9/10/22,Exempt,"51,246.99"
Police,Police Administrative Svc-Civl,Police Civilian Invest Tech,Intermittent Temporary,9/21/24,9/21/24,Nonexempt,31.98
Police,Police Administrative Svc-Civl,Police Civilian Invest Tech,Retiree Part-time,12/3/84,1/17/23,Nonexempt,33.1
Police,Police Administrative Svc-Civl,Police Civilian Invest Tech,Intermittent Temporary,1/17/23,1/17/23,Nonexempt,33.1
Police,Police Administrative Svc-Civl,Police Civilian Invest Tech,Retiree Part-time,8/8/98,1/28/23,Nonexempt,33.1
Police,Police Field Operations-Sworn,Master Police Officer,Permanent Full-time,1/11/16,1/11/16,Nonexempt,"65,731.94"
Police,Police Administrative Svcs-Swn,Police Sergeant,Permanent Full-time,11/26/12,1/16/21,Nonexempt,"77,240.54"
Police,Police Field Operations-Guards,School Crossing Guard,Periodic Part-time,9/3/04,9/3/04,Nonexempt,27.55
Police,Police Field Operations-Guards,School Crossing Guard,Periodic Part-time,6/16/04,6/8/16,Nonexempt,24.53
Police,Police Investigative Svc-Sworn,Master Police Officer,Permanent Full-time,10/28/96,3/20/03,Nonexempt,"83,992.99"
Police,Police Investigative Svc-Sworn,Police Sergeant,Permanent Full-time,2/28/00,2/16/19,Nonexempt,"103,632.94"
Police,Police Field Operations-Sworn,Police Officer,Permanent Full-time,6/21/22,6/21/22,Nonexempt,"56,639.48"
Police,Police Investigative Svc-Sworn,Master Police Officer,Permanent Full-time,7/20/15,7/20/15,Nonexempt,"67,375.55"
Police,Police Administrative Svcs-Swn,Master Police Officer,Permanent Full-time,9/26/03,9/26/03,Nonexempt,"83,992.99"
Police,Police Investigative Svc-Civil,Stenographic Reporter,Permanent Full-time,12/20/04,12/20/04,Nonexempt,"63,151.04"
Police,Police Investigative Svc-Sworn,Master Police Officer,Permanent Full-time,9/26/03,9/26/03,Nonexempt,"83,992.99"
Police,Police Field Operations-Sworn,Police Officer,Permanent Full-time,1/18/22,1/18/22,Nonexempt,"56,639.48"
Police,Police Administrative Svc-Civl,Project Coordinator,Permanent Full-time,12/8/16,7/18/22,Exempt,"54,601.58"
Police,Police Field Operations-Sworn,Police Officer,Permanent Full-time,5/21/18,5/21/18,Nonexempt,"58,055.80"
Police,Police Field Operations-Civiln,Humane Officer I,Permanent Full-time,1/27/24,1/27/24,Nonexempt,"41,774.67"
Police,Police Field Operations-Civiln,Humane Officer II,Permanent Full-time,5/24/10,7/30/24,Nonexempt,"48,907.00"
Police,Police Investigative Svc-Civil,"Crime Analyst, Senior",Permanent Full-time,3/25/15,6/3/24,Exempt,"72,160.20"
Police,Police Field Operations-Sworn,Master Police Officer,Permanent Full-time,10/16/00,10/16/00,Nonexempt,"88,192.69"
Police,Police Field Operations-Sworn,Master Police Officer,Permanent Full-time,10/13/00,3/24/08,Nonexempt,"78,042.19"
Police,Police Field Operations-Sworn,Master Police Officer,Permanent Full-time,1/12/98,1/12/98,Nonexempt,"88,192.69"
Police,Police-Emergency 911 Div Civil,Public Safety Tele Call Taker,Permanent Full-time,3/9/24,3/9/24,Nonexempt,"41,774.67"
Police,Police Field Operations-Sworn,Police Officer,Permanent Full-time,3/11/23,3/11/23,Nonexempt,"55,264.33"
Police,Police Field Operations-Sworn,Police Officer,Permanent Full-time,2/25/23,2/25/23,Nonexempt,"55,264.33"
Police,Police Investigative Svc-Sworn,Master Police Officer,Permanent Full-time,7/19/99,7/19/99,Nonexempt,"88,192.69"
Police,Police Field Operations-Guards,School Crossing Guard,Periodic Part-time,1/7/02,1/7/02,Nonexempt,30.99
Police,Police Field Operations-Sworn,Police Officer,Permanent Full-time,6/18/18,6/18/18,Nonexempt,"58,055.80"
Police,Police Field Operations-Guards,School Crossing Guard,Intermittent Temporary,5/8/21,5/8/21,Nonexempt,24.53
Police,Police Field Operations-Sworn,Police Officer,Permanent Full-time,11/5/22,11/5/22,Nonexempt,"56,639.48"
Police,Police Field Operations-Sworn,Police Officer,Permanent Full-time,10/21/23,10/21/23,Nonexempt,"55,264.33"
Police,Police-Emergency 911 Div Civil,Public Safety Tele Call Taker,Permanent Full-time,7/15/23,3/9/24,Nonexempt,"44,505.00"
Police,Police-Emergency 911 Div Civil,Public Safety Telecomm I,Permanent Full-time,5/18/24,5/18/24,Nonexempt,"47,533.08"
Police,Police Administrative Svc-Civl,Property & Evidence Technician,Permanent Full-time,8/19/96,9/23/99,Nonexempt,"51,256.56"
Police,Police Field Operations-Sworn,Police Sergeant,Permanent Full-time,8/17/09,8/19/23,Nonexempt,"81,102.12"
Police,Police Field Operations-Guards,School Crossing Guard,Intermittent Temporary,1/3/23,1/3/23,Nonexempt,22.68
Police,Police Administrative Svcs-Swn,Police Officer,Intermittent Temporary,9/4/18,7/17/21,Nonexempt,33.95
Police,Police Administrative Svcs-Swn,Police Officer,Intermittent Temporary,9/23/14,9/13/21,Nonexempt,33.95
Police,Police Field Operations-Sworn,Police Sergeant,Permanent Full-time,3/14/03,3/16/24,Nonexempt,"89,467.94"
Police,Police Administrative Svcs-Swn,Master Police Officer,Permanent Full-time,9/27/10,9/27/10,Nonexempt,"76,138.83"
Police,Police Investigative Svc-Civil,Crime Analyst,Permanent Full-time,9/14/19,9/14/19,Exempt,"62,057.57"
Police,Police Administrative Svc-Civl,Financial Operations Mgr,Permanent Full-time,7/15/13,9/3/24,Exempt,"94,478.94"
Police,Police Investigative Svc-Sworn,Police Officer,Retiree Part-time,2/1/93,12/20/21,Nonexempt,33.95
Police,Police Administrative Svc-Civl,Police Civilian Invest Tech,Intermittent Temporary,9/30/13,9/9/23,Nonexempt,33.1
Police,Police Field Operations-Sworn,Master Police Officer,Permanent Full-time,3/25/13,3/25/13,Nonexempt,"70,744.49"
Police,Police Investigative Svc-Sworn,Master Police Officer,Permanent Full-time,1/11/16,1/11/16,Nonexempt,"65,731.94"
Police,Police Field Operations-Sworn,Master Police Officer,Permanent Full-time,7/9/12,11/13/17,Nonexempt,"67,375.55"
Police,Police Field Operations-Civiln,Humane Officer I,Permanent Full-time,1/27/24,1/27/24,Nonexempt,"41,774.67"
Police,Police Field Operations-Guards,School Crossing Guard,Intermittent Temporary,8/17/19,9/9/23,Nonexempt,23.36
Police,Police Field Operations-Sworn,Master Police Officer,Permanent Full-time,9/3/02,9/3/02,Nonexempt,"83,992.99"
Police,Police Administrative Svcs-Swn,Police Recruit,Permanent Full-time,4/22/23,4/22/23,Nonexempt,"47,533.08"
Police,Police Field Operations-Sworn,Master Police Officer,Permanent Full-time,3/23/99,6/30/08,Nonexempt,"78,042.19"
Police,Police Field Operations-Guards,School Crossing Guard,Periodic Part-time,1/17/77,5/15/96,Nonexempt,34.44
Police,Police-Emergency 911 Div Civil,Public Safety Telecomm Supv,Permanent Full-time,4/24/17,5/20/23,Nonexempt,"61,082.57"
Police,Police Field Operations-Guards,School Crossing Guard,Intermittent Temporary,9/2/04,3/9/24,Nonexempt,23.35
Police,Police Field Operations-Guards,School Crossing Guard,Periodic Part-time,8/16/86,5/15/96,Nonexempt,35.14
Police,Police Investigative Svc-Sworn,Police Lieutenant,Permanent Full-time,9/23/04,12/1/19,Exempt,"104,613.08"
Police,Police Field Operations-Civiln,Operations Officer II,Permanent Full-time,10/8/22,10/8/22,Nonexempt,"41,503.50"
Police,Police Investigative Svc-Sworn,Master Police Officer,Permanent Full-time,9/23/04,3/21/05,Nonexempt,"83,992.99"
Police,Police Administrative Svcs-Swn,Police Lieutenant,Permanent Full-time,6/1/99,3/13/21,Exempt,"124,100.64"
Police,Police Investigative Svc-Sworn,Master Police Officer,Permanent Full-time,1/23/17,1/23/17,Nonexempt,"61,082.57"
Police,Police Investigative Svc-Sworn,Police Lieutenant,Permanent Full-time,11/7/05,10/24/20,Exempt,"102,061.46"
Police,Police Administrative Svc-Civl,Operations Officer II,Permanent Full-time,6/26/06,5/7/07,Nonexempt,"41,503.50"
Police,Police Field Operations-Sworn,Master Police Officer,Permanent Full-time,9/11/00,9/11/00,Nonexempt,"88,192.69"
Police,Police Field Operations-Sworn,Master Police Officer,Permanent Full-time,5/15/17,5/15/17,Nonexempt,"61,082.57"
Police,Police Administration-Civilian,Management Analyst I,Permanent Full-time,1/24/05,3/1/21,Exempt,"53,183.48"
Police,Police Field Operations-Sworn,Master Police Officer,Permanent Full-time,9/24/07,9/24/07,Nonexempt,"78,042.19"
Police,Police Field Operations-Guards,School Crossing Guard,Intermittent Temporary,6/1/24,6/1/24,Nonexempt,21.6
Police,Police Field Operations-Sworn,Master Police Officer,Permanent Full-time,5/11/15,11/8/21,Nonexempt,"65,731.94"
Police,Police Investigative Svc-Sworn,Master Police Officer,Permanent Full-time,1/4/10,1/4/10,Nonexempt,"76,138.83"
Police,Police Investigative Svc-Sworn,Master Police Officer,Permanent Full-time,1/11/16,1/11/16,Nonexempt,"65,731.94"
Police,Police Field Operations-Sworn,Police Sergeant,Permanent Full-time,9/30/13,7/18/20,Nonexempt,"75,356.22"
Police,Police Field Operations-Sworn,Police Sergeant,Permanent Full-time,9/30/13,10/5/24,Nonexempt,"75,356.22"
Police,Police Field Operations-Sworn,Master Police Officer,Permanent Full-time,1/11/16,1/11/16,Nonexempt,"65,731.94"
Police,Police Investigative Svc-Sworn,Police Sergeant,Permanent Full-time,2/6/12,11/4/21,Nonexempt,"83,129.76"
Police,Police Administrative Svc-Civl,Police Civilian Invest Tech,Retiree Part-time,3/3/86,12/17/22,Nonexempt,33.1
Police,Police Administrative Svcs-Swn,Police Recruit,Permanent Full-time,8/10/24,8/10/24,Nonexempt,"46,396.00"
Police,Police Field Operations-Sworn,Police Officer,Permanent Full-time,1/4/21,1/4/21,Nonexempt,"58,055.80"
Police,Police Field Operations-Sworn,Police Officer,Permanent Full-time,10/12/19,10/12/19,Nonexempt,"58,055.80"
Police,Police Investigative Svc-Sworn,Master Police Officer,Permanent Full-time,3/5/07,3/5/07,Nonexempt,"81,944.08"
Police,Police-Emergency 911 Div Civil,Public Safety Tele Call Taker,Permanent Full-time,10/5/24,10/5/24,Nonexempt,"41,775.00"
Police,Police Administrative Svc-Civl,Management Analyst II,Permanent Full-time,12/7/15,4/30/18,Exempt,"61,065.80"
Police,Police-Emergency 911 Div Civil,Public Safety Telecomm II,Permanent Full-time,10/18/04,10/18/04,Nonexempt,"60,787.93"
Police,Police Administrative Svc-Civl,Management Analyst III,Permanent Full-time,11/21/89,10/8/22,Exempt,"61,892.59"
Police,Operational Analytic -Civilian,Real Time Crime Center Analyst,Special Project w/ Retirement,3/25/13,2/10/24,Exempt,"64,296.27"
Police,Police Field Operations-Sworn,Master Police Officer,Permanent Full-time,7/9/12,1/4/21,Nonexempt,"67,375.55"
Police,Police Investigative Svc-Sworn,Master Police Officer,Permanent Full-time,9/30/13,9/30/13,Nonexempt,"70,744.49"
Police,Police Investigative Svc-Sworn,Master Police Officer,Permanent Full-time,6/23/08,6/23/08,Nonexempt,"78,042.19"
Police,Police Field Operations-Sworn,Master Police Officer,Permanent Full-time,9/30/13,9/30/13,Nonexempt,"70,744.49"
Police,Police Administrative Svc-Civl,Operations Officer II,Permanent Full-time,5/10/13,5/29/18,Nonexempt,"41,503.50"
Police,Police Field Operations-Sworn,Police Officer,Permanent Full-time,6/5/21,6/5/21,Nonexempt,"58,055.80"
Police,Police Administrative Svc-Civl,Accountant I,Permanent Full-time,6/25/07,10/11/21,Nonexempt,"47,958.76"
Police,Police Field Operations-Sworn,Police Officer,Permanent Full-time,1/18/22,1/18/22,Nonexempt,"56,639.48"
Police,Police Administrative Svc-Civl,Public Services Coordinator,Permanent Full-time,4/22/08,9/8/15,Exempt,"78,025.01"
Police,Police Administrative Svc-Civl,Operations Officer II,Permanent Full-time,3/5/07,3/5/07,Nonexempt,"41,503.50"
Police,Police-Emergency 911 Div Civil,Public Safety Telecomm III,Permanent Full-time,7/1/03,2/16/19,Nonexempt,"56,639.48"
Police,Police Field Operations-Sworn,Police Sergeant,Permanent Full-time,8/18/08,2/16/19,Nonexempt,"83,129.76"
Police,Police Administrative Svc-Civl,Operations Officer II,Permanent Full-time,2/24/24,2/24/24,Nonexempt,"41,503.50"
Police,Police-Emergency 911 Div Civil,Public Safety Telecomm III,Permanent Full-time,10/4/10,8/12/24,Nonexempt,"53,942.20"
Police,Police Field Operations-Sworn,Police Lieutenant,Permanent Full-time,3/20/03,3/13/21,Exempt,"102,061.46"
Police,Police Field Operations-Sworn,Master Police Officer,Permanent Full-time,9/23/04,9/23/04,Nonexempt,"83,992.99"
Police,Police Field Operations-Sworn,Master Police Officer,Permanent Full-time,7/19/99,2/23/01,Nonexempt,"88,192.69"
Police,Police Investigative Svc-Sworn,Master Police Officer,Permanent Full-time,1/26/15,1/26/15,Nonexempt,"67,375.55"
Police,Police Field Operations-Sworn,Master Police Officer,Permanent Full-time,8/23/06,8/23/06,Nonexempt,"81,944.08"
Police,Police Investigative Svc-Sworn,Police Lieutenant,Permanent Full-time,5/23/01,10/23/15,Exempt,"112,590.06"
Police,Police Field Operations-Sworn,Master Police Officer,Permanent Full-time,1/11/16,1/11/16,Nonexempt,"65,731.94"
Police,Police-Emergency 911 Div Civil,Public Safety Telecomm I,Intermittent Temporary,2/18/14,2/1/24,Nonexempt,25.86
Police,Police-Emergency 911 Div Civil,Public Safety Telecomm I,Intermittent Temporary,7/5/22,6/1/24,Nonexempt,22.77
Police,Police Field Operations-Guards,School Crossing Guard,Periodic Part-time,7/24/09,7/24/09,Nonexempt,28.1
Police,Police Administrative Svc-Civl,Administrative Assistant I,Permanent Full-time,4/15/13,1/8/18,Nonexempt,"46,937.12"
Police,Police Administrative Svcs-Swn,Master Police Officer,Permanent Full-time,7/7/14,7/7/14,Nonexempt,"67,375.55"
Police,Police Field Operations-Civiln,Administrative Assistant I,Permanent Full-time,8/9/99,8/26/01,Nonexempt,"50,331.28"
Police,Police Field Operations-Sworn,Police Officer,Permanent Full-time,6/21/17,12/2/23,Nonexempt,"55,264.33"
Police,Police Administration - Sworn,Master Police Officer,Permanent Full-time,9/8/08,9/8/08,Nonexempt,"78,042.19"
Police,Police Administration - Sworn,Master Police Officer,Permanent Full-time,5/15/06,5/15/06,Nonexempt,"81,944.08"
Police,Police-Emergency 911 Div Civil,Public Safety Tele Call Taker,Permanent Full-time,8/12/23,8/12/23,Nonexempt,"41,774.67"
Police,Police Field Operations-Guards,School Crossing Guard,Intermittent Temporary,9/14/19,9/14/19,Nonexempt,24.53
Police,Police-Emergency 911 Div Civil,Public Safety Tele Call Taker,Permanent Full-time,4/6/24,4/6/24,Nonexempt,"41,774.67"
Police,Police Administrative Svc-Civl,Bureau Manager,Permanent Full-time,3/23/98,9/19/14,Exempt,"117,417.90"
Police,Police Administrative Svcs-Swn,Master Police Officer,Permanent Full-time,3/26/04,3/26/04,Nonexempt,"83,992.99"
Police,Police Administrative Svc-Civl,Management Analyst II,Permanent Full-time,9/14/19,8/30/21,Exempt,"59,085.32"
Police,Police Administrative Svc-Civl,Police Civilian Invest Tech,Intermittent Temporary,9/24/22,9/24/22,Nonexempt,33.1
Police,Police Administrative Svc-Civl,Operations Manager,Permanent Full-time,11/23/94,12/11/00,Exempt,"91,420.42"
Police,Police Administrative Svc-Civl,Police Civilian Invest Tech,Retiree Part-time,1/11/94,4/22/24,Nonexempt,33.1
Police,Police Field Operations-Sworn,Master Police Officer,Permanent Full-time,2/20/02,1/22/08,Nonexempt,"83,992.99"
Police,Police Field Operations-Sworn,Police Officer,Permanent Full-time,4/25/20,4/25/20,Nonexempt,"58,055.80"
Police,Police Administrative Svcs-Swn,Police Recruit,Permanent Full-time,7/27/24,7/27/24,Nonexempt,"46,396.00"
Police,Police Field Operations-Sworn,Master Police Officer,Permanent Full-time,10/23/06,10/23/06,Nonexempt,"81,944.08"
Police,Police Field Operations-Sworn,Police Captain,Permanent Full-time,2/14/00,3/13/21,Exempt,"123,595.17"
Police,Police Field Operations-Sworn,Police Captain,Permanent Full-time,5/6/96,7/7/17,Exempt,"133,019.30"
Police,Police Administrative Svc-Civl,Operations Officer II,Permanent Full-time,1/3/23,1/3/23,Nonexempt,"41,503.50"
Police,Police Field Operations-Sworn,Police Officer,Permanent Full-time,1/4/21,1/4/21,Nonexempt,"58,055.80"
Police,Police Administrative Svc-Civl,Fiscal Monitoring Spec II,Permanent Full-time,10/30/06,11/9/15,Exempt,"58,783.67"
Police,Police Field Operations-Sworn,Master Police Officer,Permanent Full-time,8/5/96,1/10/97,Nonexempt,"88,192.69"
Police,Police Field Operations-Civiln,Humane Officer I,Permanent Full-time,2/10/24,2/10/24,Nonexempt,"41,774.67"
Police,Police Field Operations-Civiln,Humane Officer I,Permanent Full-time,5/8/21,5/8/21,Nonexempt,"41,774.67"
Police,Police Administrative Svc-Civl,Operations Officer II,Permanent Full-time,7/1/24,7/1/24,Nonexempt,"41,503.00"
Police,Police Administrative Svc-Civl,Operations Officer II,Permanent Full-time,8/15/87,5/15/96,Nonexempt,"47,796.75"
Police,Police Field Operations-Sworn,Master Police Officer,Permanent Full-time,10/28/96,6/9/08,Nonexempt,"78,042.19"
Police,Police Administration-Civilian,Programs Manager,Permanent Full-time,7/24/06,4/23/22,Exempt,"66,187.64"
Police,Police Field Operations-Civiln,Administrative Assistant I,Permanent Full-time,5/25/83,5/15/96,Nonexempt,"69,384.27"
Police,Police Investigative Svc-Sworn,Master Police Officer,Permanent Full-time,2/12/96,3/30/97,Nonexempt,"83,992.99"
Police,Police Field Operations-Sworn,Master Police Officer,Permanent Full-time,4/16/07,4/16/07,Nonexempt,"81,944.08"
Police,Police Field Operations-Civiln,Administrative Assistant I,Permanent Full-time,1/17/23,1/17/23,Nonexempt,"41,774.67"
Police,Police Investigative Svc-Civil,Crime Analyst,Permanent Full-time,9/7/24,9/7/24,Exempt,"55,686.00"
Police,Police Administrative Svc-Civl,Administrative Assistant I,Permanent Full-time,12/30/23,12/30/23,Nonexempt,"41,774.67"
Police,Police Field Operations-Sworn,Master Police Officer,Permanent Full-time,1/23/17,1/23/17,Nonexempt,"61,082.57"
Police,Police Administrative Svc-Civl,Custodian,Permanent Full-time,4/10/06,4/10/06,Nonexempt,"40,687.92"
Police,Police-Emergency 911 Div Civil,Public Safety Telecomm II,Permanent Full-time,12/15/03,12/15/03,Nonexempt,"63,827.33"
Police,Police-Emergency 911 Div Civil,Public Safety Tele Call Taker,Permanent Full-time,3/23/24,3/23/24,Nonexempt,"41,774.67"
Police,Police-Emergency 911 Div Civil,Public Safety Tele Call Taker,Permanent Full-time,10/5/24,10/5/24,Nonexempt,"41,775.00"
Police,Police-Emergency 911 Div Civil,Public Safety Tele Call Taker,Permanent Full-time,7/13/24,7/13/24,Nonexempt,"41,775.00"
Police,Police Field Operations-Sworn,Master Police Officer,Permanent Full-time,3/24/08,3/24/08,Nonexempt,"78,042.19"
Police,Police Investigative Svc-Sworn,Police Officer,Permanent Full-time,8/3/19,8/3/19,Nonexempt,"58,055.80"
Police,Police-Emergency 911 Div Civil,Public Safety Tele Call Taker,Permanent Full-time,10/5/24,10/5/24,Nonexempt,"41,775.00"
Police,Police Field Operations-Sworn,Police Officer,Permanent Full-time,2/27/23,2/27/23,Nonexempt,"55,264.33"
Police,Police Administration - Sworn,Master Police Officer,Permanent Full-time,1/4/10,1/4/10,Nonexempt,"76,138.83"
Police,Police Field Operations-Sworn,Police Sergeant,Permanent Full-time,3/24/08,10/24/20,Nonexempt,"83,129.76"
Police,Police Administration - Sworn,Police Sergeant,Permanent Full-time,8/29/11,1/1/22,Nonexempt,"77,240.54"
Police,Police Field Operations-Sworn,Police Sergeant,Permanent Full-time,1/19/99,9/17/07,Nonexempt,"103,632.94"
Police,Police Field Operations-Sworn,Police Officer,Permanent Full-time,1/7/19,1/7/19,Nonexempt,"58,055.80"
Police,Police Investigative Svc-Sworn,Police Sergeant,Permanent Full-time,1/4/10,7/18/20,Nonexempt,"81,102.12"
Police,Police Administrative Svc-Civl,Police Civilian Invest Tech,Retiree Part-time,7/21/08,12/17/22,Nonexempt,21.74
Police,Police Investigative Svc-Sworn,Police Lieutenant,Permanent Full-time,5/31/01,8/2/24,Exempt,"121,157.00"
Police,Police Administrative Svc-Civl,Police Civilian Invest Tech,Intermittent Temporary,3/25/23,3/25/23,Nonexempt,33.1
Police,Operational Analytic -Civilian,Real Time Crime Center Analyst,Special Project w/ Retirement,2/10/24,2/10/24,Exempt,"64,296.27"
Police,Police Administrative Svcs-Swn,Master Police Officer,Permanent Full-time,3/24/08,2/16/19,Nonexempt,"78,042.19"
Police,Police-Emergency 911 Div Civil,Public Safety Telecomm II,Permanent Full-time,7/8/96,7/1/97,Nonexempt,"65,423.01"
Police,Police-Emergency 911 Div Civil,Public Safety Telecomm Supv,Permanent Full-time,4/27/19,4/27/19,Nonexempt,"64,129.76"
Police,Police Field Operations-Sworn,Police Officer,Permanent Full-time,10/8/22,10/8/22,Nonexempt,"56,639.48"
Police,Police-Emergency 911 Div Civil,Public Safety Telecomm III,Permanent Full-time,8/14/09,8/10/24,Nonexempt,"53,942.20"
Police,Police-Emergency 911 Div Civil,Public Safety Telecomm Supv,Permanent Full-time,11/9/98,2/8/14,Nonexempt,"65,731.94"
Police,Police Investigative Svc-Civil,Administrative Assistant I,Permanent Full-time,2/27/12,2/27/12,Nonexempt,"47,875.86"
Police,Police Administrative Svcs-Swn,Police Sergeant,Permanent Full-time,7/9/12,3/13/21,Nonexempt,"83,129.76"
Police,Police Field Operations-Sworn,Police Officer,Permanent Full-time,1/28/23,1/28/23,Nonexempt,"55,264.33"
Police,Police Field Operations-Sworn,Police Lieutenant,Permanent Full-time,7/16/90,11/14/13,Exempt,"124,100.64"
Police,Police Field Operations-Guards,School Crossing Guard,Periodic Part-time,3/30/06,3/30/06,Nonexempt,27.55
Police,Police Field Operations-Civiln,Humane Officer I,Permanent Full-time,1/27/24,1/27/24,Nonexempt,"41,774.67"
Police,Police Investigative Svc-Sworn,Master Police Officer,Permanent Full-time,1/23/17,1/23/17,Nonexempt,"61,082.57"
Police,Police Administration - Sworn,Chief of Police,Permanent Full-time,4/24/23,4/24/23,Exempt,"239,085.00"
Police,Police Field Operations-Sworn,Police Officer,Permanent Full-time,3/28/23,7/15/23,Nonexempt,"55,264.33"
Police,Police Field Operations-Sworn,Police Officer,Permanent Full-time,3/11/23,3/11/23,Nonexempt,"55,264.33"
Police,Police Investigative Svc-Sworn,Police Officer,Permanent Full-time,5/30/17,10/5/24,Nonexempt,"58,055.00"
Police,Police Field Operations-Sworn,Master Police Officer,Permanent Full-time,3/25/13,3/25/13,Nonexempt,"70,744.49"
Police,Police Field Operations-Guards,School Crossing Guard,Intermittent Temporary,8/30/21,8/30/21,Nonexempt,23.81
Police,Police Administration - Sworn,Police Sergeant,Permanent Full-time,7/21/08,10/24/20,Nonexempt,"87,285.80"
Police,Police Field Operations-Sworn,Master Police Officer,Permanent Full-time,7/9/12,7/9/12,Nonexempt,"72,513.50"
Police,Police Field Operations-Sworn,Police Sergeant,Permanent Full-time,10/9/00,1/6/16,Nonexempt,"93,941.96"
Police,Police Field Operations-Sworn,Police Officer,Permanent Full-time,6/20/23,6/20/23,Nonexempt,"55,264.33"
Police,Police Field Operations-Sworn,Master Police Officer,Permanent Full-time,7/14/08,7/14/08,Nonexempt,"78,042.19"
Police,Police Investigative Svc-Sworn,Police Sergeant,Permanent Full-time,9/23/04,8/3/19,Nonexempt,"96,289.81"
